餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
巴错火锅·重庆老火锅(后海新村店),火锅,南油,后海大道登良路10-15号,1047,￥116,准五星商户
梦西贡 Mon Saigon,东南亚菜,香蜜湖,侨香路香蜜湖1979文化新天地B区漫咖啡旁,963,￥131,四星商户
秀炭现穿羊肉串(南山店),烧烤,南油,创业路26号怡海广场西座1-2楼,277,￥94,准五星商户
Juicy Squared蜜方圆素(Cocopark店),小吃快餐,市中心区,福华三路269号星河COCO-PARK购物中心负1楼,812,￥62,准四星商户
Teafood茶米之间,粤菜,南山中心区,科技园南区学府路软件产业基地5栋A座2楼,767,￥97,四星商户
暹罗泰(宝安壹方城店),东南亚菜,宝安中心区,新湖路99号,284,￥160,四星商户
双潭圩桂林米粉,粥粉面,华强北,华发北路赛格科技园102栋89号,191,￥24,四星商户
钢管厂五区小郡肝串串香(罗湖店),火锅,文锦渡,春风路2056号,498,￥121,四星商户
MET Restaurant and Bar,西餐,香蜜湖,侨香东路1011号1979文化新天地B区1层B127,553,￥127,四星商户
丽江龙继斑鱼庄(坂田店),火锅,坂田,坂田街道五和大道南118号海达和成购物广场3楼F306号铺电影院旁,707,￥92,准五星商户
渔米粥(南山店),粤菜,南油,南海大道信和自由广场3楼,3290,￥131,四星商户
炊牛家烤肉,烧烤,宝安南路沿线,深南东路金丰城大厦一楼5015-12商铺,507,￥135,四星商户
董家小馆,东北菜,车公庙,泰然四路63号,246,￥59,四星商户
好色派沙拉(中心城店),西餐,市中心区,福华一路怡景中心城L层R1018铺好色派沙拉,2116,￥72,四星商户
威斯汀扒房,西餐,益田假日,深南大道9028-2号益田威斯汀酒店25楼,414,￥749,四星商户
大梅沙京基海湾大酒店天涛轩海鲜食府,粤菜,大小梅沙,盐梅路90号京基海湾大酒店M楼,619,￥137,准五星商户
热辣生活(城市广场店),小龙虾,荔枝公园片区,南园街道深南中路市政府南侧城市广场地下一层L-317,77,￥61,五星商户
耍牛忙串串香(南山桃园店),火锅,南头,桃园路与南光路交汇处田厦金牛广场B座一楼A3号铺位,207,￥67,四星商户
车记碳烤肥牛,烧烤,西丽,西丽街道石鼓路4003号早安商务中心B座6、7、10号商铺,175,￥77,四星商户
巴色鱼捞(新城市广场店),火锅,荔枝公园片区,深南中路新城市广场四楼407DE,152,￥111,准五星商户
爱猫猫主题猫馆,面包甜点,KKMAll 京基100大厦,金华街13号三层,143,￥63,四星商户
宾赞小龙虾(八卦岭店),小龙虾,八卦岭/园岭,八卦一路国际风情美食街39号,1147,￥176,四星商户
胡须佬鸡煲四季火锅店(马成时代广场店),火锅,石厦,石厦街马成时代广场二楼,385,￥98,四星商户
四季椰林椰子鸡(1234space店),火锅,东门商业圈,建设路3018号华润1234spaceL512号铺,484,￥112,准五星商户
金翠皇宫(科技园店),粤菜,科技园,南山区科苑路讯美科技广场3号楼2楼,334,￥116,四星商户
蓝色牙买加Jamaica blue,咖啡厅,黄贝岭,黄贝岭凤凰路海珑华苑Hicity一楼JamaicaBlue,330,￥67,四星商户
瑞吉酒店-闲逸廊,咖啡厅,KKMAll 京基100大厦,深南东路5016号京基100大厦瑞吉酒店96楼,409,￥256,四星商户
汕头八合里海记牛肉店(八卦岭店),火锅,八卦岭/园岭,园岭街道八卦一路六栋美食街首层南1号,79,￥106,四星商户
胡须佬鸡煲四季火锅店(龙珠大道店),火锅,西丽,龙珠大道桃源村香榭峰景苑1楼,284,￥79,四星商户
Pizza Express 玛尚诺(万象城店),西餐,宝安南路沿线,宝安南路1881号华润万象城一期5层568,1600,￥128,准五星商户
温德姆至尊酒店自助餐,自助餐,市中心区,彩田路2009号瀚森大厦3楼,1176,￥230,四星商户
彩悦茶点王粤菜酒楼(布吉店),粤菜,布吉,布吉街道吉华路路80号,212,￥65,准五星商户
炉鱼(海岸城店),川菜,海岸城,文心五路33号海岸城购物中心5层,2400,￥74,四星商户
花园里·欢乐餐厅(民治店),创意菜,民治,民治大道468号海韵大厦二楼,642,￥95,四星商户
Bus Grill 巴士扒房－土耳其烤肉,西餐,市中心区,民田路购物公园B区134－135,409,￥219,准五星商户
延武禅堂素食馆,素菜,皇岗,福田南路7号皇城广场四楼,173,￥148,准五星商户
格琳素席,素菜,市中心区,金田路与福华路交汇处现代国际大厦5楼,305,￥207,准五星商户
大牛火锅(福田凯旋豪庭店),火锅,景田,红荔西路7018号凯旋豪庭裙楼102、127商铺,204,￥84,四星商户
Ji-Lou space几楼(财富大厦店),咖啡厅,市中心区,金田路财富大厦51楼E,142,￥52,四星商户
希尔顿南海酒店-厨艺半自助餐厅,自助餐,蛇口,工业一路一号深圳蛇口希尔顿南海酒店,83,￥210,四星商户
平安海鲜自助餐厅,自助餐,市中心区,彩田北路彩德城3032号平安国际酒店6楼,416,￥171,准四星商户
船歌鱼水饺(布吉万象汇店),海鲜,布吉,布吉街道翔鸽路2号华润万象汇购物中心B119号,156,￥68,四星商户
小南洋(深圳湾店),东北菜,南山中心区,滨海大道3001号深圳湾木棉花酒店21楼,546,￥148,四星商户
香港九记牛腩大王(东门店),火锅,东门商业圈,东门步行街鸿展中心城负一楼,529,￥86,四星商户
娘惹千语(国贸天虹店),东南亚菜,国贸,南湖路3007号国贸商业大厦2楼,55,￥60,四星商户
BAIA RESTAURANT BAR GRILL(海上世界店),西餐,蛇口,海上世界广场B区3楼B301,335,￥373,准五星商户
万德诺富特酒店自助西餐厅,自助餐,荔枝公园片区,深南中路1019号万德大厦副楼万德诺富特酒店2楼,2781,￥134,准五星商户
千府日本料理,日本料理,海岸城,粤海街道海德二道20号海岸大厦东座160-161商铺,734,￥119,四星商户
四海一家(益田假日广场店),自助餐,益田假日,深南大道9028号华侨城威尼斯酒店旁益田假日广场3层,12109,￥181,准四星商户
Fresh领鲜海鲜自助餐厅,自助餐,东门商业圈,东门鸿展中心城3楼,572,￥126,四星商户
喜荟,粤菜,华强北,华强北深南中路2038号,993,￥73,四星商户
開飯餐廳(来福士广场店),粤菜,南油,南海大道2163号来福士广场3层16号,705,￥101,四星商户
艺记客家碌鹅(新洲店),粤菜,新洲,新洲九街兴万和广场1楼,170,￥66,四星商户
农耕记·湖南山里菜(福田边防大厦店),湘菜,华强南,福景路广东边防大厦1楼5-2号,372,￥81,四星商户
九龙冰室,茶餐厅,科技园,科苑北路讯美广场3号裙楼1楼6号铺,319,￥49,四星商户
哈帝斯汉堡·现煎牛堡(海雅缤纷广场店),西餐,南山中心区,南海大道海雅百货负一层奈斯网咖106号,391,￥34,准五星商户
君悦酒店-主席楼,粤菜,宝安南路沿线,宝安南路1881号君悦酒店35-36楼,184,￥784,准五星商户
外婆家(卓悦汇店),江浙菜,梅林,梅林路卓悦汇购物中心5楼,1990,￥64,准四星商户
潮卤道卤水火锅,火锅,南山中心区,高新南十一道香坊万豪广场2楼,320,￥131,准五星商户
椒麻巷重庆小面,粥粉面,蛇口,蛇口海昌街22号蓝虹豪苑6号铺,228,￥27,准五星商户
穆沙烧烤西域主题餐厅(华强南店),烧烤,华强南,华强南路南华花园商业中心一楼,248,￥75,准五星商户
大牛火锅(罗湖向西店),火锅,文锦渡,南湖街道南极路南华大厦主楼1层东侧,113,￥105,准五星商户
SHARK 鲨鱼餐吧(购物公园店),西餐,市中心区,福华路转中心二路购物公园B区1楼133号,645,￥374,四星商户
稻香酒家(海岸城分店),粤菜,海岸城,文心五路33号海岸城购物中心五层501-9号,4218,￥96,四星商户
美人鱼帆船餐厅,创意菜,南澳,南澳街道东山社区七星湾游艇会内会所1栋1层1001号,69,￥152,准五星商户
老佛爷炭火蛙锅(东门中心城店),火锅,东门商业圈,东门中路2088号东门中心城4楼,1626,￥85,四星商户
木棉花开(君尚3019店),创意菜,海岸城,中心路君尚3019一楼,982,￥141,四星商户
the Bunker1宾客园(财富广场店),韩国料理,车公庙,财富广场一楼133号,1160,￥118,四星商户
九五牛新日式和牛火锅放题(壹方城店),日本料理,宝安中心区,新湖路99号壹方城L1层105号,194,￥188,四星商户
极上萬膳日本料理(kk one店),日本料理,上沙/下沙,滨河大道9289号京基滨河时代北区3层315,611,￥296,四星商户
云海肴云南菜(宝安壹方城店),其他美食,宝安区,新安街道宝安中心区新湖路99号壹方城L4层032-033号铺,711,￥85,四星商户
川椒龙妹火锅,火锅,华强北,华强北振华路100-17号,118,￥111,准五星商户
青筠焱烧肉·酒巷(罗湖店),日本料理,文锦渡,深圳市罗湖区深南东路2019号东乐大厦一楼105铺,37,￥268,准五星商户
豪林居餐馆(八卦一路美食街店),粤菜,八卦岭/园岭,8卦1路8卦岭鹏盛村8栋8103-8105室,935,￥114,四星商户
龙巢盱眙龙虾(欢乐海岸店),小龙虾,欢乐海岸,欢乐海岸椰林沙滩12号,935,￥133,四星商户
美作烘焙(海岸城店),面包甜点,海岸城,海岸大厦西座海德二道与文心四路交汇处104号商铺,254,￥43,准五星商户
醉码头火锅(八卦岭店),火锅,八卦岭/园岭,八卦一路11栋8号,319,￥117,准五星商户
鑫泰泰国料理(东海缤纷天地店),东南亚菜,车公庙,香林路东海缤纷天地二层2021铺,2327,￥105,四星商户
大熊烧肉(马家龙店),烧烤,南头,玉园路37号,325,￥116,准五星商户
Cake Something,面包甜点,南山中心区,创业路海王大厦,81,￥149,准五星商户
祈康膳坊·创意美学素食料理,素菜,南山区,中建钢构大厦五楼,31,￥429,准五星商户
米馥寿司(东门店),日本料理,东门商业圈,"东门中路东门中心城3楼12,13间",1604,￥84,准五星商户
天籽·蔬食餐厅(关山月美术馆店),素菜,市民中心,红荔西路6026号关山月美术馆一楼,679,￥108,准五星商户
蟹密·新派川菜,川菜,华强北,中航路35号,955,￥78,四星商户
迎客春蒸汽桑拿海鲜餐厅(布吉店),海鲜,布吉,布吉罗岗路信义荔山公馆8号楼S139-145室南,1253,￥192,四星商户
菜虫食堂,粤菜,香蜜湖,侨香路3082号君子广场一楼,104,￥581,四星商户
惠比寿·西江鳗鱼,日本料理,市民中心,福华三路卓越INTOWN负一层惠比寿横丁内右侧-3,121,￥144,四星商户
十三羊蒙古羊排店(福中店),西北菜,市中心区,福中路紫钰花园街铺52号,3722,￥75,准五星商户
钢管厂五区小郡肝串串香(宝安店),火锅,西乡,金海路17号乐群综合楼A2栋104,257,￥113,四星商户
太艮堡毋米粥(深圳罗湖店),粤菜,宝安南路沿线,嘉宾路4025号城市天地广场内2楼201-207室,3303,￥146,四星商户
万善天厨素食馆,素菜,华强北,华强北街道振兴路99-4号,340,￥87,准五星商户
那时·我的大学-湖北味道,其他美食,石厦,石厦街马成时代广场四楼,355,￥76,四星商户
油篓街小郡肝火锅串串,火锅,白石洲,红树街49号,88,￥83,准五星商户
香蜜轩(香蜜湖店),粤菜,香蜜湖,深南大道6068号香蜜湖度假村内,2096,￥175,四星商户
古稻林餐厅(西乡店),其他美食,天虹汇一城,新湖路西乡汇一城天虹负一楼B1022,2082,￥80,准五星商户
MASH 精酿啤酒餐厅,西餐,皇岗,皇岗公园街2-5号皇岗公园六街与七街交汇处云顶翠峰3期89号铺,262,￥169,准五星商户
手羽先居酒屋,日本料理,海岸城,粤海街道海德二道凯宾斯基大厦商场一楼19-20号,278,￥167,准五星商户
Life&Kitchen 美式餐厅｜蛇口六號花園店(蛇口6号花园店),咖啡厅,蛇口,蛇口太子南路碧涛苑碧桦路6栋,1405,￥80,四星商户
胜记(饭店),粤菜,八卦岭/园岭,八卦一路鹏盛村1栋1-2楼,2230,￥155,四星商户
鑫泰泰国料理(COCO Park店),东南亚菜,市中心区,福华三路269号COCOPark3楼,6339,￥122,四星商户
馥乐悠手工烘焙俱乐部,面包甜点,车公庙,深南大道泰然九路都市阳光名苑3座28C,95,￥135,准五星商户
渔语鱼·酸菜鱼专门店(欢乐海岸店),川菜,欢乐海岸,白石路东68号欢乐海岸南区水秀食街C-4,323,￥97,四星商户
蝴蝶梦音乐餐厅(欢乐海岸店),粤菜,欢乐海岸,白石路东47号欢乐海岸曲水湾B-14,2119,￥120,四星商户
华洋酒楼,粤菜,蛇口,水湾路14号,1468,￥79,四星商户
HYPERTEA去赞茶吧(宝安壹方城店),面包甜点,宝安中心区,壹方城4楼,359,￥34,准四星商户
偷鱼餐厅,粤菜,宝安中心区,新安六路与新湖路交汇处佳华名苑3楼,2765,￥87,四星商户
城门口老火锅(福田总店),火锅,八卦岭/园岭,八卦一路八卦岭工业区619栋二楼东侧,230,￥119,准五星商户
海极鲜蒸汽美食坊(华强北店),海鲜,华强北,振中路爱华科研楼一层,684,￥133,四星商户
浅葱小唱(科技园店),川菜,科技园,科苑北路11号深圳金融科技大厦1楼,2682,￥82,四星商户
汕头八合里海记牛肉店(坂田领汇店),火锅,坂田,坂田街道吉华路635号佳华领汇广场一期1栋A座01层03&04号商业街铺,116,￥89,四星商户
卖串串的女孩·冷锅串串(南山店),火锅,南头,桂庙路111号,64,￥56,四星商户
渔米粥(罗湖店),粤菜,火车站,春风路3068号置地广场2楼3068号,2750,￥138,四星商户
信哥哥茶餐厅(大冲商务中心店),茶餐厅,科技园,深南大道大冲商务中心A栋3楼302室,680,￥53,四星商户
炉鱼(皇庭广场店),川菜,市中心区,福华三路118号皇庭广场G层,4897,￥78,四星商户
紫禁书院,私房菜,壹海城,深盐路壹海城二区四楼,61,￥155,准五星商户
八零九零碳烤肥牛(南山店),烧烤,南油,南新路南山村祠堂旁,977,￥96,准五星商户
深圳大中华喜来登酒店-怡聚轩全日餐厅,自助餐,市中心区,福华一路1号大中华国际交易广场喜来登酒店1楼,954,￥216,四星商户
炉鱼(卓悦汇店),川菜,梅林,上梅林中康路与梅林路交叉口东北角卓悦汇3层,2348,￥73,四星商户
巴蜀风月(海岸城店),川菜,海岸城,文心五路33号海岸城购物中心5层501-7号商铺,3375,￥114,四星商户
星洲小聚新加坡料理(华强北九方店),东南亚菜,华强北,华强北街道中航华强北九方购物中心北区5层L508号铺,2165,￥110,四星商户
鲩味道·脆肉鲩粤式鱼火锅(新沙店),火锅,新洲,新沙路10号新光大厦一层4号,189,￥93,四星商户
爱家味烤羊排(海岸城店),西北菜,海岸城,海岸城东座一楼大厅148号,910,￥56,准五星商户
青缇新日料,日本料理,蛇口,工业三路与兴华路交汇处汇港购物中心2楼,403,￥146,四星商户
本家韩国料理(欢乐海岸店),韩国料理,欢乐海岸,白石路东42号欢乐海岸曲水湾A-11A,1903,￥133,四星商户
一乐食堂·日式丼饭研究所,日本料理,东门商业圈,东门街道解放路鸿展中心城3楼,237,￥76,四星商户
tea馆—名厨私家菜,粤菜,华侨城,香山东街2号华侨城创意文化园北区B3栋101室,908,￥263,四星商户
Green Bowl绿碗创意融合餐,创意菜,科技园,海天一路软件产业基地2A栋8楼,96,￥57,四星商户
余记鸭掌轩(罗湖总店),火锅,罗湖区政府,文锦中路朝花大厦北座二楼整层,1734,￥65,准五星商户
星美聚(万科里店),东南亚菜,龙岗区,龙岗大道龙岗中心城万科里L2-04、05、06号商铺,128,￥110,四星商户
